Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
73,105=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3910/university-of-central-lancashire"">University of Central Lancashire</a>",88.1%,84.4%,9.9%,114,62.1%,84.7
74,75,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3917/university-of-derby"">University of Derby</a>",87.5%,83.0%,13.5%,117,59.7%,84.6
75,107,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london south bank university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3963/london-south-bank-university"">London South Bank University</a>",86.9%,81.8%,12.8%,86*,70.0%,84.3
76,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : st mary's university, twickenham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3987/st-marys-university-twickenham"">St Mary's University, Twickenham</a>",87.3%,82.9%,14.6%,108,60.1%,84.2
77,43,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of buckingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3904/university-of-buckingham"">University of Buckingham</a>",86.1%,80.8%,n/a,102,72.2%,83.8
78,102,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : york st john university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4017/york-st-john-university"">York St John University</a>",87.9%,82.7%,9.7%,110,60.0%,83.7
79,56,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3889/aston-university"">Aston University</a>",77.7%,77.4%,23.4%,120,62.6%,83.5
80,70,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of roehampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3985/university-of-roehampton"">University of Roehampton</a>",78.8%,74.1%,20.8%,109,66.9%,83.2
81,67,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3992/sheffield-hallam-university"">Sheffield Hallam University</a>",83.7%,81.7%,14.6%,117,57.4%,83.1
82,78,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bournemouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3899/bournemouth-university"">Bournemouth University</a>",83.1%,76.6%,15.1%,122,58.8%,83
