Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Entry standards (Ucas pts),161,2014,University of Nottingham,161.0,23.0,9.0,10007154,University of Nottingham,14.0
Entry standards (Ucas pts),158,2014,University of York,158.0,27.0,8.0,10007167,University of York,18.0
Entry standards (Ucas pts),147,2014,University of East Anglia,147.0,39.0,7.0,10007789,University of East Anglia,
Entry standards (Ucas pts),172,2014,University of Dundee,172.0,13.0,10.0,10007852,University of Dundee,
Entry standards (Ucas pts),190,2014,University of Edinburgh,190.0,6.0,10.0,10007790,University of Edinburgh,4.0
Entry standards (Ucas pts),157,2014,University of Sheffield,157.0,29.0,8.0,10007157,University of Sheffield,19.0
Entry standards (Ucas pts),184,2014,University of Aberdeen,184.0,9.0,10.0,10007783,University of Aberdeen,
Entry standards (Ucas pts),159,2014,Newcastle University,159.0,25.0,8.0,10007799,University of Newcastle Upon Tyne,16.0
Entry standards (Ucas pts),147,2014,University of Liverpool,147.0,39.0,7.0,10006842,University of Liverpool,21.0
Entry standards (Ucas pts),169,2014,King's College London,169.0,15.0,9.0,10003645,King's College London,10.0
Entry standards (Ucas pts),135,2014,Swansea University,135.0,52.0,6.0,10007855,Swansea University,
