Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Bradford,Research Quality,4.35,2009,4.35,52.0,6.0
Ulster,Research Quality,3.78,2009,3.78,56.0,6.0
Dundee,Research Quality,5.11,2009,5.11,34.0,8.0
Nottingham Trent,Research Quality,2.82,2009,2.82,68.0,5.0
Hertfordshire,Research Quality,2.49,2009,2.49,76.0,4.0
University of the Arts London,Research Quality,4.70,2009,4.7,44.0,7.0
Bangor,Research Quality,4.68,2009,4.68,46.0,6.0
Bournemouth,Research Quality,1.92,2009,1.92,95.0,2.0
Gloucestershire,Research Quality,3.00,2009,3.0,63.0,5.0
Oxford Brookes,Research Quality,2.80,2009,2.8,69.0,4.0
Portsmouth,Research Quality,3.22,2009,3.22,58.0,5.0
Robert Gordon,Research Quality,1.87,2009,1.87,99.0,2.0
West of Scotland,Research Quality,1.64,2009,1.64,103.0,1.0
Central Lancashire,Research Quality,2.21,2009,2.21,89.0,3.0
De Montfort,Research Quality,3.14,2009,3.14,60.0,5.0
"UWIC, Cardiff",Research Quality,2.72,2009,2.72,72.0,4.0
West of England,Research Quality,2.80,2009,2.8,69.0,4.0
Brighton,Research Quality,2.93,2009,2.93,64.0,5.0
Abertay Dundee,Research Quality,1.95,2009,1.95,94.0,2.0
Birmingham City,Research Quality,2.22,2009,2.22,87.0,3.0
Plymouth,Research Quality,3.20,2009,3.2,59.0,5.0
Chichester,Research Quality,2.06,2009,2.06,92.0,2.0
Salford,Research Quality,4.27,2009,4.27,55.0,6.0
Northumbria,Research Quality,2.28,2009,2.28,86.0,3.0
Winchester,Research Quality,2.46,2009,2.46,80.0,3.0
Bath Spa,Research Quality,2.47,2009,2.47,79.0,4.0
Queen Margaret,Research Quality,2.29,2009,2.29,85.0,3.0
Roehampton,Research Quality,3.23,2009,3.23,57.0,5.0
Napier,Research Quality,2.32,2009,2.32,84.0,3.0
Sunderland,Research Quality,2.79,2009,2.79,71.0,4.0
Sheffield Hallam,Research Quality,3.02,2009,3.02,61.0,5.0
Staffordshire,Research Quality,2.20,2009,2.2,90.0,3.0
Middlesex,Research Quality,2.67,2009,2.67,73.0,4.0
Glamorgan,Research Quality,2.39,2009,2.39,83.0,3.0
"University of Wales, Newport",Research Quality,3.01,2009,3.01,62.0,5.0
Coventry,Research Quality,2.13,2009,2.13,91.0,2.0
Bedfordshire,Research Quality,1.82,2009,1.82,100.0,2.0
