aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Johns Hopkins University,United States,0,Johns Hopkins University,478,11,110,private,91.7,41,62.0,100,76.0,89,86.4,110,86.9,16,83.9,11,51 : 49,"15,303",24%,3.5,Biological Sciences,/world-university-rankings/johns-hopkins-university
UCL ucl UCL,United Kingdom,0,UCL,481,12,120,master_account,86.6,68,32.9,397,94.2,16,86.3,120,93.8,5,81.1,14,56 : 44,"28,602",47%,10.6,Biological Sciences,/world-university-rankings/ucl
University of Chicago,United States,11,University of Chicago,473,13,130,private,98.0,13,29.1,553,69.0,130,86.0,130,86.4,19,79.8,21,42 : 58,"13,486",24%,6.2,Biological Sciences,/world-university-rankings/university-chicago
ETH Zurich,Switzerland,0,ETH Zurich,479,14,140,master_account,88.1,62,47.4,178,97.9,7,85.5,140,86.6,18,81.0,15,31 : 69,"18,616",37%,14.9,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/eth-zurich
Columbia University,United States,0,Columbia University,476,15,150,private,98.3,11,42.9,212,74.9,97,85.0,150,78.7,32,80.5,18,,"25,659",30%,6.0,Biological Sciences,/world-university-rankings/columbia-university
Wageningen University & Research,Netherlands,0,Wageningen University & Research,540,16,160,master_account,86.5,71,100.0,9,76.7,85,84.2,160,85.8,21,80.0,20,56 : 44,"9,535",23%,15.6,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/wageningen-university-research
Cornell University,United States,0,Cornell University,484,17,170,private,90.3,50,35.2,330,51.0,244,83.9,170,92.7,8,80.0,19,49 : 51,"21,593",19%,9.9,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/cornell-university
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,=18,180,public,96.6,20,60.8,106,48.8,261,83.0,180,86.7,17,73.1,28,53 : 47,"38,392",16%,9.9,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-los-angeles
Duke University,United States,0,Duke University,487,=18,190,private,92.5,36,97.4,26,56.6,206,83.0,190,84.1,24,75.5,25,49 : 51,"15,204",17%,4.8,,/world-university-rankings/duke-university
University of Pennsylvania,United States,0,University of Pennsylvania,480,20,200,private,93.8,32,40.9,233,41.8,309,82.7,200,85.2,22,80.7,16,51 : 49,"20,367",20%,6.5,"Veterinary Science,Biological Sciences",/world-university-rankings/university-pennsylvania
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,21,210,master_account,90.6,48,32.7,402,88.6,36,82.6,210,83.9,26,73.7,26,59 : 41,"25,279",37%,12.6,"Veterinary Science,Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-edinburgh
University of Toronto,Canada,0,University of Toronto,483,22,220,master_account,83.6,91,72.0,68,74.9,98,81.1,220,87.9,15,73.4,27,,"68,093",16%,18.8,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-toronto
Karolinska Institute,Sweden,0,Karolinska Institute,496,23,230,master_account,83.5,92,71.4,72,75.9,91,81.0,230,92.0,9,69.0,31,69 : 31,"7,723",23%,11.3,Biological Sciences,/world-university-rankings/karolinska-institute
"University of California, San Diego",United States,0,"University of California, San Diego",497,24,240,public,96.3,25,67.7,81,38.6,341,80.4,240,85.1,23,67.7,33,47 : 53,"28,416",14%,6.6,Biological Sciences,/world-university-rankings/university-california-san-diego
University of British Columbia ubc,Canada,11,University of British Columbia,486,25,250,master_account,83.2,94,31.3,463,91.1,24,79.8,250,83.9,25,72.5,29,54 : 46,"51,889",29%,18.2,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-british-columbia
Peking University,China,0,Peking University,514,26,260,master_account,78.8,126,100.0,7,43.9,296,79.5,260,86.2,20,81.2,13,48 : 52,"42,977",15%,8.8,"Agriculture & Forestry,Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/peking-university
"University of California, Davis",United States,0,"University of California, Davis",503,27,270,public,75.3,158,58.6,115,61.4,180,78.6,270,89.1,13,78.8,23,55 : 45,"36,060",15%,13.7,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-davis
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,28,280,public,93.3,33,50.0,162,59.0,191,77.8,280,79.0,31,64.3,37,48 : 52,"41,912",16%,8.8,"Sport Science,Biological Sciences",/world-university-rankings/university-michigan-ann-arbor
National University of Singapore nus,Singapore,6,National University of Singapore,504,29,290,master_account,71.6,190,42.7,214,95.6,12,76.4,290,80.8,28,75.8,24,50 : 50,"31,111",32%,16.7,Biological Sciences,/world-university-rankings/national-university-singapore
Heidelberg University,Germany,0,Heidelberg University,537,30,300,master_account,79.7,118,32.5,412,66.7,141,75.4,300,79.7,30,71.8,30,55 : 45,"29,527",17%,24.9,"Biological Sciences,Sport Science",/world-university-rankings/heidelberg-university-0
King’s College London,United Kingdom,11,King’s College London,520,31,310,master_account,92.1,38,47.5,176,89.6,32,75.0,310,68.3,37,58.3,46,61 : 39,"21,986",38%,11.3,Biological Sciences,/world-university-rankings/kings-college-london
