Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Worcester,NSS Teaching (%),84.99457207092121,2010,84.99457207092121,45.0,7.0,10007139,University of Worcester,
Glyndŵr,NSS Teaching (%),78.1808250821023,2010,78.1808250821023,94.0,2.0,10007833,Glyndwr University,
Salford,NSS Teaching (%),81.38858128325509,2010,81.38858128325509,79.0,3.0,10007156,University of Salford,
Winchester,NSS Teaching (%),87.2183172793894,2010,87.2183172793894,24.0,8.0,10003614,University of Winchester,
Swansea,NSS Teaching (%),86.15826102152859,2010,86.15826102152859,32.0,8.0,10007855,Swansea University,
Huddersfield,NSS Teaching (%),77.8792233182214,2010,77.8792233182214,96.0,2.0,10007148,University of Huddersfield,
Hertfordshire,NSS Teaching (%),78.1581827018418,2010,78.1581827018418,95.0,2.0,10007147,University of Hertfordshire,
Manchester Met,NSS Teaching (%),75.9132536495536,2010,75.9132536495536,105.0,1.0,10004180,The Manchester Metropolitan University,
Marjon (St Mark and St John),NSS Teaching (%),85.4363927649153,2010,85.4363927649153,38.0,7.0,10037449,University of St Mark & St John,
Newport,NSS Teaching (%),75.64693223994679,2010,75.64693223994679,106.0,1.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Northampton,NSS Teaching (%),84.9646536262349,2010,84.9646536262349,47.0,6.0,10007138,The University of Northampton,
Leeds Met,NSS Teaching (%),72.4759774663742,2010,72.4759774663742,111.0,1.0,10003861,Leeds Metropolitan University,
Canterbury Christ Church,NSS Teaching (%),83.2509595824804,2010,83.2509595824804,60.0,5.0,10001143,Canterbury Christ Church University,
Edge Hill,NSS Teaching (%),82.32827227663292,2010,82.32827227663292,66.0,5.0,10007823,Edge Hill University,
Derby,NSS Teaching (%),81.53640748308621,2010,81.53640748308621,77.0,4.0,10007851,University of Derby,
Middlesex,NSS Teaching (%),78.2504867087288,2010,78.2504867087288,93.0,2.0,10004351,Middlesex University,
Abertay Dundee,NSS Teaching (%),,2010,,,,10007849,University of Abertay Dundee,
Roehampton,NSS Teaching (%),79.84524878629699,2010,79.84524878629699,90.0,2.0,10007776,Roehampton University,
Greenwich,NSS Teaching (%),82.5704127403355,2010,82.5704127403355,65.0,5.0,10007146,University of Greenwich,
Westminster,NSS Teaching (%),74.8569001712893,2010,74.8569001712893,107.0,1.0,10007165,The University of Westminster,
Leeds Trinity & All Saints,NSS Teaching (%),82.1801316526243,2010,82.1801316526243,69.0,4.0,10003863,Leeds Trinity University College,
