aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Göttingen,Germany,0,University of Göttingen,533,78,78,master_account,74.0,90,35.9,95,49.3,72,59.4,78,61.1,53,44.0,76,51 : 49,"25,581",12%,25.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-gottingen
University of Florida,United States,0,University of Florida,590,79,79,public,73.8,91,35.4,101,28.0,95,58.9,79,57.7,59,51.5,58,54 : 46,"50,095",9%,18.7,"Other Health,Medicine & Dentistry",/world-university-rankings/university-florida
Chinese University of Hong Kong CUHK,Hong Kong,11,Chinese University of Hong Kong,662356,80,80,master_account,67.9,94,46.5,55,80.8,15,58.5,80,51.2,74,48.8,63,53 : 47,"17,916",22%,10.2,"Other Health,Medicine & Dentistry",/world-university-rankings/chinese-university-hong-kong
University of Gothenburg,Sweden,0,University of Gothenburg,676,81,81,master_account,83.2,72,36.8,93,69.2,35,58.3,81,52.0,72,32.0,93,,"26,420",12%,16.4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-gothenburg
University of Groningen,Netherlands,11,University of Groningen,598,82,82,master_account,82.0,76,99.7,4,49.5,71,58.1,82,53.2,67,31.1,96,52 : 48,"24,556",11%,25.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-groningen
Georgetown University,United States,0,Georgetown University,602,=83,83,private,78.8,84,53.8,43,62.8,54,58.0,83,43.0,87,45.5,73,53 : 47,"15,408",14%,8.5,"Medicine & Dentistry,Other Health",/world-university-rankings/georgetown-university
University of Oslo,Norway,0,University of Oslo,647,=83,84,master_account,74.1,89,44.7,66,65.1,49,58.0,84,49.0,81,45.8,71,,"27,139",18%,18.8,"Medicine & Dentistry,Other Health",/world-university-rankings/university-oslo
University of Virginia (Main campus)  ,United States,0,University of Virginia (Main campus)  ,601,85,85,public,88.0,48,45.9,60,47.5,74,57.7,85,43.3,86,37.3,88,52 : 48,"23,845",12%,10.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-virginia-main-campus
University of Bristol,United Kingdom,11,University of Bristol,530,86,86,master_account,92.6,32,38.9,85,63.4,53,57.6,86,40.8,89,29.9,98,53 : 47,"17,906",25%,14.0,"Other Health,Medicine & Dentistry",/world-university-rankings/university-bristol
Radboud University Nijmegen,Netherlands,6,Radboud University Nijmegen,624,87,87,master_account,86.9,54,54.1,41,69.6,33,57.5,87,50.1,78,24.5,101,58 : 42,"17,713",10%,13.0,"Other Health,Medicine & Dentistry",/world-university-rankings/radboud-university-nijmegen
