aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
"Nanyang Technological University, Singapore NTU Nan yang",,Singapore,6,"Nanyang Technological University, Singapore",634,29,29,master_account,77.3,44,100.0,3,94.3,3,67.4,29,58.9,38,54.7,49,"Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/nanyang-technological-university-singapore
KTH Royal Institute of Technology,,Sweden,0,KTH Royal Institute of Technology,651,30,30,master_account,62.0,70,100.0,2,73.8,30,66.3,30,62.6,33,66.5,29,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/kth-royal-institute-technology
Technical University of Denmark,,Denmark,0,Technical University of Denmark,643,31,31,master_account,85.6,22,91.7,22,73.9,29,66.0,31,48.3,59,59.5,39,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/technical-university-denmark
Columbia University,,United States,0,Columbia University,476,32,32,private,89.9,18,-,83,57.7,58,65.9,32,52.8,51,60.2,37,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/columbia-university
University of Washington,,United States,0,University of Washington,489,33,33,public,88.8,19,-,99,57.2,60,64.5,33,57.6,39,53.5,51,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-washington
KU Leuven,,Belgium,11,KU Leuven,531,34,34,master_account,79.2,38,99.8,8,62.1,48,64.3,34,56.8,42,52.6,52,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/ku-leuven
Seoul National University,,South Korea,0,Seoul National University,588,35,35,master_account,50.2,93,95.2,18,24.2,101,63.9,35,73.5,24,71.4,24,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/seoul-national-university
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,36,36,master_account,80.8,35,33.9,76,81.7,18,63.7,36,56.4,43,55.9,47,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-hong-kong
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,37,37,master_account,81.9,32,47.8,60,85.4,13,62.8,38,54.5,48,50.4,60,"Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/university-melbourne
University of Manchester,,United Kingdom,0,University of Manchester,512,37,37,master_account,64.3,64,47.2,61,80.8,19,62.8,37,57.1,40,65.3,31,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-manchester
